Lugar;"COD IBGE";"IDHM (2010)";"IDHM Renda (2010)";"IDHM Longevidade (2010)";"IDHM Educação (2010)"
Brasil;--;0,727;0,739;0,816;0,637
Acre;12;0,663;0,671;0,777;0,559
Alagoas;27;0,631;0,641;0,755;0,520
Amazonas;13;0,674;0,677;0,805;0,561
Amapá;16;0,708;0,694;0,813;0,629
Bahia;29;0,660;0,663;0,783;0,555
Ceará;23;0,682;0,651;0,793;0,615
"Distrito Federal";53;0,824;0,863;0,873;0,742
"Espírito Santo";32;0,740;0,743;0,835;0,653
Goiás;52;0,735;0,742;0,827;0,646
Maranhão;21;0,639;0,612;0,757;0,562
"Minas Gerais";31;0,731;0,730;0,838;0,638
"Mato Grosso do Sul";50;0,729;0,740;0,833;0,629
"Mato Grosso";51;0,725;0,732;0,821;0,635
Pará;15;0,646;0,646;0,789;0,528
Paraíba;25;0,658;0,656;0,783;0,555
Pernambuco;26;0,673;0,673;0,789;0,574
Piauí;22;0,646;0,635;0,777;0,547
Paraná;41;0,749;0,757;0,830;0,668
"Rio de Janeiro";33;0,761;0,782;0,835;0,675
"Rio Grande do Norte";24;0,684;0,678;0,792;0,597
Rondônia;11;0,690;0,712;0,800;0,577
Roraima;14;0,707;0,695;0,809;0,628
"Rio Grande do Sul";43;0,746;0,769;0,840;0,642
"Santa Catarina";42;0,774;0,773;0,860;0,697
Sergipe;28;0,665;0,672;0,781;0,560
"São Paulo";35;0,783;0,789;0,845;0,719
Tocantins;17;0,699;0,690;0,793;0,624

