Lugar;"COD IBGE";"IDHM-x (2010)"
Brasil;--;0,727
Acre;12;0,663
Alagoas;27;0,631
Amazonas;13;0,674
Amapá;16;0,708
Bahia;29;0,660
Ceará;23;0,682
"Distrito Federal";53;0,824
"Espírito Santo";32;0,740
Goiás;52;0,735
Maranhão;21;0,639
"Minas Gerais";31;0,731
"Mato Grosso do Sul";50;0,729
"Mato Grosso";51;0,725
Pará;15;0,646
Paraíba;25;0,658
Pernambuco;26;0,673
Piauí;22;0,646
Paraná;41;0,749
"Rio de Janeiro";33;0,761
"Rio Grande do Norte";24;0,684
Rondônia;11;0,690
Roraima;14;0,707
"Rio Grande do Sul";43;0,746
"Santa Catarina";42;0,774
Sergipe;28;0,665
"São Paulo";35;0,783
Tocantins;17;0,699

